,Market_leg,Airline,reco_ratio,db_cost,es_cost,reco_coes,OW_optimized_OB
132,MNLHAN,5J,1.6826565033096925,11099.0,8927.0,18676.0,6.600000000000006
133,MNLHKG,5J,0.6398688021374657,7989.0,4491.0,5112.0,3.200000000000003
134,MNLICN,5J,1.5093065794198353,9069.0,5334.0,13688.0,5.600000000000005
135,MNLILO,5J,0.8908379763877037,4299.0,3568.0,3830.0,4.0000000000000036
136,MNLKHH,5J,0.8284928710486564,6299.0,3255.0,5219.0,4.400000000000004
137,MNLKIX,5J,1.1282230657048604,23299.0,8037.0,26286.0,6.000000000000005
138,MNLKLO,5J,1.228136273379269,3809.0,5710.0,4678.0,4.899999999999993
139,MNLKUL,5J,1.4059916179921017,7299.0,4632.0,10262.0,7.000000000000006
140,MNLLAO,5J,1.135927242443469,4499.0,5417.0,5111.0,5.200000000000005
141,MNLMFM,5J,0.6556821190368238,6799.0,3518.0,4458.0,4.699999999999993
142,MNLMPH,5J,0.770625748741306,4799.0,5428.0,3698.0,3.499999999999992
143,MNLNGO,5J,2.245252472132691,24779.0,8096.0,55635.0,8.099999999999996
144,MNLOZC,5J,2.1101406867323305,5199.0,8406.0,10971.0,7.200000000000006
145,MNLPAG,5J,2.35320375163656,4999.0,11466.0,11764.0,8.099999999999996
146,MNLPPS,5J,1.531490202497668,4399.0,5131.0,6737.0,6.499999999999995
147,MNLPVG,5J,2.3630920370717563,10399.0,7409.0,24574.0,8.099999999999996
148,MNLRXS,5J,1.2346401737267223,3999.0,5546.0,4937.0,4.699999999999993
149,MNLSGN,5J,2.031260079820653,10099.0,5900.0,20514.0,7.800000000000007
150,MNLSIN,5J,1.2847614903930928,10589.0,10216.0,13604.0,5.200000000000005
151,MNLSYD,5J,0.9656058759328651,27699.0,14414.0,26746.0,3.600000000000003
152,MNLTAC,5J,1.6616137887367841,5009.0,8130.0,8323.0,6.499999999999995
153,MNLTAG,5J,0.8591227471354824,4599.0,4253.0,3951.0,4.299999999999993
154,MNLTPE,5J,0.7077430246856455,6399.0,4562.0,4529.0,2.6999999999999913
155,MNLTUG,5J,0.7102353606384949,4239.0,4481.0,3011.0,3.8999999999999924
156,MNLVRC,5J,1.375133265538469,4599.0,6670.0,6324.0,6.000000000000005
157,MNLZAM,5J,2.6460045789833666,4499.0,9449.0,11904.0,8.899999999999997
158,MPHCEB,5J,0.6391517065457749,3899.0,3099.0,2492.0,3.699999999999992
159,MPHCRK,5J,1.2545709520126886,4139.0,5917.0,5193.0,5.000000000000004
160,MPHMNL,5J,0.7371978694396025,4799.0,3444.0,3538.0,3.400000000000003
161,NGOMNL,5J,2.570062281620419,24779.0,10141.0,63684.0,7.600000000000007
162,NRTCEB,5J,3.033984027284641,18399.0,10800.0,55822.0,8.699999999999996
163,OZCCEB,DG,0.5533686317241673,3399.0,3328.0,1881.0,4.200000000000004
164,OZCMNL,5J,1.9694197497409944,5199.0,9495.0,10239.0,7.800000000000007
165,PAGCEB,DG,0.6351811721274048,3899.0,3387.0,2477.0,4.200000000000004
166,PAGMNL,5J,1.9948138879523742,4999.0,11462.0,9972.0,7.200000000000006
167,PPSCEB,5J,1.1488637241793722,3799.0,3907.0,4365.0,5.000000000000004
168,PPSCRK,5J,0.686734296672525,4059.0,3235.0,2787.0,4.200000000000004
169,PPSILO,5J,0.7168893887459628,3649.0,2777.0,2616.0,3.299999999999992
170,PPSMNL,5J,1.3968263615429686,4399.0,5395.0,6145.0,5.899999999999994
171,PVGMNL,5J,1.8349243199643213,10399.0,7943.0,19081.0,7.299999999999995
172,RXSMNL,5J,1.2563233513832452,3999.0,5780.0,5024.0,5.499999999999994
173,SGNCEB,5J,0.937962881340014,12599.0,5346.0,11817.0,4.400000000000004
174,SGNMNL,5J,2.0186763326499824,10099.0,5610.0,20387.0,7.800000000000007
175,SINMNL,5J,1.7654242546107692,10589.0,10420.0,18694.0,6.600000000000006
176,SYDMNL,5J,1.0239500771970773,27699.0,10252.0,28362.0,3.499999999999992
177,TACCEB,DG,0.7413003393171518,3799.0,3229.0,2816.0,4.0999999999999925
178,TACDVO,5J,0.8831013611259575,3599.0,3119.0,3178.0,4.400000000000004
179,TACMNL,5J,1.7050097032180616,5009.0,8457.0,8540.0,6.600000000000006
180,TAGCRK,DG,-0.0426368763876809,5099.0,4916.0,-217.0,2.0000000000000018
181,TAGDVO,5J,1.1017645467700248,4399.0,4164.0,4847.0,4.499999999999993
182,TAGILO,5J,0.29672461301712477,2799.0,1847.0,831.0,2.6000000000000023
183,TAGMNL,5J,0.9716536334053135,4599.0,4819.0,4469.0,4.699999999999993
184,TPEMNL,5J,0.577403228269998,6399.0,4222.0,3695.0,2.8999999999999915
185,TUGMNL,5J,0.7856771626685297,4239.0,4203.0,3330.0,3.8999999999999924
186,TWTZAM,5J,1.1074493095899398,3199.0,3669.0,3543.0,5.200000000000005
187,ZAMCEB,5J,-0.1299379081717423,3299.0,609.0,-429.0,3.200000000000003
188,ZAMDVO,5J,0.748630139279459,3699.0,1981.0,2769.0,3.8999999999999924
189,ZAMILO,5J,0.8567278778281219,3899.0,4978.0,3340.0,3.499999999999992
190,ZAMMNL,5J,2.382384423321544,4499.0,10911.0,10718.0,8.600000000000009
191,ZAMTWT,5J,1.1615202562356897,3199.0,4172.0,3716.0,5.200000000000005
