,Airline,Market_leg,NS_fc,SLFFC,OB%,cost_ratio
0,5J,BCDMNL,5.2,0.989,5.56,1.108085579327591
1,5J,BCDMNL,6.7,0.989,7.78,1.108085579327591
2,5J,BCDMNL,7.1,1.0,6.67,1.108085579327591
3,5J,BCDMNL,4.6,1.011,5.56,1.108085579327591
4,5J,BCDMNL,4.8,0.839,5.75,1.108085579327591
6,5J,BCDMNL,1.3,1.011,2.22,1.108085579327591
7,5J,BCDMNL,6.6000000000000005,1.011,7.78,1.108085579327591
8,5J,BCDMNL,6.3,0.994,6.11,1.108085579327591
9,5J,BCDMNL,7.9,0.994,7.78,1.108085579327591
10,5J,BKKMNL,4.3,0.617,6.1,1.0288796493988088
11,5J,BKKMNL,6.3,0.773,6.54,1.0288796493988088
12,5J,BKKMNL,5.0,0.81,5.45,1.0288796493988088
13,5J,BKKMNL,3.3000000000000003,0.771,4.14,1.0288796493988088
14,5J,BKKMNL,2.1999999999999997,0.793,2.61,1.0288796493988088
15,5J,BKKMNL,4.9,0.71,6.1,1.0288796493988088
16,5J,BKKMNL,6.7,0.776,6.97,1.0288796493988088
18,5J,BWNMNL,3.4000000000000004,0.59,4.79,0.9672110393720724
19,5J,BWNMNL,3.9,0.644,5.32,0.9672110393720724
21,5J,BXUMNL,4.1000000000000005,0.97,7.39,1.375824643541179
26,5J,BXUMNL,2.1999999999999997,0.968,3.72,1.375824643541179
27,5J,BXUMNL,4.6,0.941,5.91,1.375824643541179
28,5J,BXUMNL,3.6999999999999997,0.961,4.35,1.375824643541179
29,5J,BXUMNL,4.6,0.965,5.22,1.375824643541179
39,5J,CEBDVO,4.9,0.636,7.2,0.8533824690708081
40,5J,CEBDVO,3.3000000000000003,0.822,5.08,0.8533824690708081
41,5J,CEBDVO,4.9,0.593,7.2,0.8533824690708081
42,5J,CEBDVO,6.1,0.831,7.63,0.8533824690708081
43,5J,CEBDVO,5.7,0.996,5.08,0.8533824690708081
46,5J,CEBHKG,3.5000000000000004,0.65,3.89,0.6290027887296855
47,5J,CEBHKG,2.4,0.706,2.22,0.6290027887296855
48,5J,CEBMNL,4.9,0.887,3.49,0.5153443964537395
49,5J,CEBMNL,7.000000000000001,0.924,4.24,0.5153443964537395
51,5J,CEBMNL,7.3999999999999995,0.941,4.66,0.5153443964537395
52,5J,CEBMNL,7.3,0.898,4.66,0.5153443964537395
55,5J,CEBMNL,4.7,0.983,3.04,0.5153443964537395
56,5J,CEBMNL,8.7,0.919,5.91,0.5153443964537395
57,5J,CEBMNL,6.6000000000000005,0.991,6.52,0.5153443964537395
59,5J,CEBMNL,5.1,0.72,3.81,0.5153443964537395
60,5J,CEBMNL,2.1999999999999997,0.678,2.54,0.5153443964537395
61,5J,CEBMNL,8.3,0.723,6.38,0.5153443964537395
64,5J,CEBMNL,10.7,0.792,5.51,0.5153443964537395
65,5J,CEBMNL,6.1,0.978,3.76,0.5153443964537395
66,5J,CEBMNL,7.9,0.819,5.32,0.5153443964537395
70,5J,CEBMNL,6.2,0.889,3.89,0.5153443964537395
71,5J,CEBMNL,6.4,0.9,3.89,0.5153443964537395
72,5J,CEBMNL,6.5,0.811,5.0,0.5153443964537395
76,5J,CEBMNL,4.7,0.806,3.89,0.5153443964537395
77,5J,CEBMNL,4.5,0.856,4.24,0.5153443964537395
78,5J,CEBMNL,6.1,0.665,8.26,0.5153443964537395
79,5J,CEBMNL,6.3,0.764,5.17,0.5153443964537395
80,5J,CEBMPH,5.0,0.694,6.11,0.7063349576814568
81,5J,CEBMPH,5.8999999999999995,0.833,6.11,0.7063349576814568
83,5J,CEBNRT,2.1999999999999997,0.648,1.69,0.5240502201206587
85,5J,CEBNRT,3.6999999999999997,0.682,2.97,0.5240502201206587
87,5J,CEBNRT,3.0,0.555,2.97,0.5240502201206587
88,5J,CEBZAM,6.1,0.894,2.78,0.3549560472870567
89,5J,CEBZAM,6.7,0.717,3.33,0.3549560472870567
90,5J,CEBZAM,5.6000000000000005,0.817,2.78,0.3549560472870567
91,5J,CEBZAM,4.7,0.711,2.78,0.3549560472870567
92,5J,CEBZAM,7.1,0.667,3.89,0.3549560472870567
93,5J,CEBZAM,3.9,0.678,2.22,0.3549560472870567
94,5J,CEBZAM,4.2,0.889,2.22,0.3549560472870567
95,5J,CEBZAM,6.7,0.95,2.78,0.3549560472870567
96,5J,CEBZAM,8.4,0.939,3.33,0.3549560472870567
97,5J,CEBZAM,5.5,0.811,2.78,0.3549560472870567
98,5J,CGYMNL,6.1,0.961,7.83,1.5290280495759947
99,5J,CGYMNL,3.3000000000000003,1.004,4.35,1.5290280495759947
100,5J,CGYMNL,3.3000000000000003,0.926,6.09,1.5290280495759947
101,5J,CGYMNL,2.0,0.874,3.04,1.5290280495759947
102,5J,CGYMNL,6.5,0.894,8.51,1.5290280495759947
103,5J,CGYMNL,1.3,0.883,3.91,1.5290280495759947
104,5J,CGYMNL,4.8,0.852,6.96,1.5290280495759947
105,5J,CGYMNL,5.1,1.006,6.11,1.5290280495759947
106,5J,CGYMNL,6.7,0.989,7.78,1.5290280495759947
107,5J,CGYMNL,3.5999999999999996,1.0,3.89,1.5290280495759947
108,5J,CGYMNL,5.7,0.952,7.98,1.5290280495759947
109,5J,CGYMNL,3.4000000000000004,0.968,4.26,1.5290280495759947
110,5J,CGYMNL,2.1999999999999997,0.935,2.69,1.5290280495759947
111,5J,CGYMNL,2.1999999999999997,0.944,3.33,1.5290280495759947
112,5J,CGYMNL,6.3,0.983,7.78,1.5290280495759947
113,5J,CGYMNL,6.800000000000001,1.0,7.22,1.5290280495759947
127,5J,CRKCEB,6.9,0.8,3.33,0.35280745624005455
128,5J,CRKCEB,7.3999999999999995,0.828,3.89,0.35280745624005455
129,5J,CRKCEB,7.3,0.939,3.89,0.35280745624005455
130,5J,CRKCEB,6.3,0.733,3.33,0.35280745624005455
131,5J,CRKHKG,6.800000000000001,0.922,4.44,0.749505756483312
132,5J,CRKHKG,4.8,0.856,3.33,0.749505756483312
133,5J,CRKHKG,4.8,0.763,3.23,0.749505756483312
134,5J,CRKHKG,1.3,0.946,1.61,0.749505756483312
135,5J,CRKHKG,6.5,0.919,4.84,0.749505756483312
145,5J,DADMNL,3.5000000000000004,0.661,5.93,1.048324478953821
146,5J,DADMNL,4.3999999999999995,0.733,5.08,1.048324478953821
147,5J,DADMNL,3.5000000000000004,0.631,6.78,1.048324478953821
148,5J,DADMNL,3.0,0.568,5.93,1.048324478953821
158,5J,DPSMNL,4.5,0.674,4.66,0.8198955659792903
159,5J,DPSMNL,4.7,0.758,4.24,0.8198955659792903
160,5J,DPSMNL,4.3,0.699,4.24,0.8198955659792903
161,5J,DPSMNL,3.5999999999999996,0.818,2.97,0.8198955659792903
162,5J,DPSMNL,3.8,0.801,4.66,0.8198955659792903
163,5J,DPSMNL,6.7,0.839,5.93,0.8198955659792903
165,5J,DPSMNL,4.2,0.712,4.24,0.8198955659792903
166,5J,DPSMNL,4.6,0.708,4.66,0.8198955659792903
167,5J,DPSMNL,5.6000000000000005,0.703,5.51,0.8198955659792903
168,5J,DRPILO,4.7,0.533,8.89,1.4298538086688894
169,5J,DRPILO,5.7,0.472,8.89,1.4298538086688894
170,5J,DRPILO,1.6,0.467,5.0,1.4298538086688894
171,5J,DRPILO,4.8,0.444,8.89,1.4298538086688894
172,5J,DRPMNL,5.8999999999999995,0.878,7.39,1.2387442200048673
173,5J,DRPMNL,6.1,0.83,8.7,1.2387442200048673
174,5J,DRPMNL,5.5,0.774,7.39,1.2387442200048673
175,5J,DRPMNL,5.4,0.778,7.39,1.2387442200048673
176,5J,DRPMNL,5.1,0.891,7.39,1.2387442200048673
177,5J,DRPMNL,2.5,0.835,3.04,1.2387442200048673
178,5J,DRPMNL,1.5,0.861,3.91,1.2387442200048673
179,5J,DRPMNL,5.1,0.7,8.26,1.2387442200048673
180,5J,DRPMNL,4.8,0.752,7.39,1.2387442200048673
181,5J,DRPMNL,5.5,0.73,8.26,1.2387442200048673
183,5J,DRPMNL,5.800000000000001,0.737,8.9,1.2387442200048673
184,5J,DRPMNL,5.3,0.805,6.78,1.2387442200048673
186,5J,DVOMNL,4.3999999999999995,0.913,8.7,1.5526573838007451
190,5J,DVOMNL,4.7,0.917,8.7,1.5526573838007451
191,5J,DVOMNL,2.8000000000000003,0.898,5.08,1.5526573838007451
195,5J,DVOMNL,5.1,0.953,6.36,1.5526573838007451
196,5J,DVOMNL,6.1,0.915,7.45,1.5526573838007451
197,5J,DVOMNL,6.4,0.924,8.9,1.5526573838007451
198,5J,DVOMNL,4.8,0.947,6.38,1.5526573838007451
199,5J,DVOMNL,4.1000000000000005,0.915,5.51,1.5526573838007451
200,5J,DVOMNL,2.8000000000000003,0.924,5.08,1.5526573838007451
201,5J,DVOMNL,6.1,0.894,7.78,1.5526573838007451
202,5J,DVOMNL,4.7,0.886,5.51,1.5526573838007451
203,5J,DVOMNL,4.1000000000000005,0.892,5.91,1.5526573838007451
204,5J,DVOMNL,5.4,0.866,8.6,1.5526573838007451
205,5J,DVOTAC,4.6,0.699,4.84,0.7813281467074187
206,5J,GESMNL,5.6000000000000005,0.958,7.63,1.4913446406714461
207,5J,GESMNL,6.4,1.013,7.63,1.4913446406714461
208,5J,GESMNL,3.3000000000000003,0.801,5.93,1.4913446406714461
209,5J,GESMNL,5.7,0.906,8.89,1.4913446406714461
210,5J,HANMNL,2.7,0.826,2.54,0.6893413821064961
211,5J,HANMNL,4.3999999999999995,0.775,3.81,0.6893413821064961
212,5J,HANMNL,4.3,0.733,3.81,0.6893413821064961
213,5J,HANMNL,2.0,0.758,2.12,0.6893413821064961
214,5J,HKGILO,2.6,0.522,4.44,0.9538337205778361
215,5J,HKGILO,2.8000000000000003,0.472,4.44,0.9538337205778361
216,5J,HKGILO,0.7000000000000001,0.489,1.67,0.9538337205778361
217,5J,HKGILO,2.7,0.5,4.44,0.9538337205778361
231,5J,ICNMNL,2.3,0.747,1.74,0.4423861506230014
232,5J,ICNMNL,2.9000000000000004,0.915,1.96,0.4423861506230014
233,5J,ICNMNL,2.0,0.845,1.74,0.4423861506230014
234,5J,ICNMNL,3.6999999999999997,0.832,3.05,0.4423861506230014
235,5J,ICNMNL,3.5999999999999996,0.841,1.96,0.4423861506230014
236,5J,ICNMNL,3.3000000000000003,0.765,1.96,0.4423861506230014
237,5J,ILODRP,2.8000000000000003,0.439,6.11,0.8992049243395742
238,5J,ILODRP,4.2,0.583,7.22,0.8992049243395742
239,5J,ILODRP,2.9000000000000004,0.5,6.11,0.8992049243395742
240,5J,ILODRP,3.3000000000000003,0.533,6.11,0.8992049243395742
241,5J,ILOMNL,4.3,0.973,3.72,0.8618283321702721
242,5J,ILOMNL,4.7,0.984,4.3,0.8618283321702721
243,5J,ILOMNL,2.9000000000000004,0.984,2.13,0.8618283321702721
244,5J,ILOMNL,3.3000000000000003,0.984,3.72,0.8618283321702721
245,5J,ILOMNL,4.3999999999999995,0.989,3.72,0.8618283321702721
246,5J,ILOMNL,5.1,0.898,4.66,0.8618283321702721
247,5J,ILOMNL,4.5,0.797,4.66,0.8618283321702721
248,5J,ILOMNL,3.9,0.644,5.08,0.8618283321702721
249,5J,ILOMNL,4.3,0.72,4.66,0.8618283321702721
250,5J,ILOMNL,3.0,0.597,4.24,0.8618283321702721
251,5J,ILOMNL,3.2,0.665,4.24,0.8618283321702721
252,5J,ILOMNL,2.9000000000000004,0.648,4.24,0.8618283321702721
253,5J,ILOMNL,3.6999999999999997,0.606,5.08,0.8618283321702721
254,5J,ILOMNL,4.9,0.597,6.36,0.8618283321702721
255,5J,ILOMNL,3.8,0.695,4.24,0.8618283321702721
256,5J,ILOMNL,4.5,1.006,4.44,0.8618283321702721
257,5J,ILOZAM,3.2,0.411,7.22,0.8776609387022314
259,5J,ILOZAM,8.200000000000001,0.611,7.78,0.8776609387022314
260,5J,ILOZAM,1.7000000000000002,0.667,3.33,0.8776609387022314
261,5J,ILOZAM,7.1,0.506,8.89,0.8776609387022314
266,5J,KIXMNL,1.9,0.784,1.53,0.4340958839435169
275,5J,LAOMNL,4.9,0.876,4.3,0.6285841298066237
276,5J,LAOMNL,3.5999999999999996,0.602,4.84,0.6285841298066237
277,5J,LAOMNL,5.4,0.93,4.3,0.6285841298066237
278,5J,LAOMNL,1.9,1.0,1.61,0.6285841298066237
279,5J,LAOMNL,3.4000000000000004,0.995,3.23,0.6285841298066237
280,5J,LAOMNL,3.4000000000000004,0.731,8.6,0.6285841298066237
281,5J,LAOMNL,2.4,0.543,3.23,0.6285841298066237
282,5J,LAOMNL,4.0,0.516,5.38,0.6285841298066237
283,5J,LAOMNL,3.8,0.586,4.3,0.6285841298066237
284,5J,LAOMNL,6.2,0.575,6.99,0.6285841298066237
288,5J,MNLBCD,7.1,0.961,8.33,0.9772158933036955
289,5J,MNLBCD,5.2,1.006,5.0,0.9772158933036955
290,5J,MNLBCD,5.8999999999999995,0.989,5.56,0.9772158933036955
291,5J,MNLBCD,3.5000000000000004,1.0,3.33,0.9772158933036955
292,5J,MNLBCD,5.3,0.994,5.17,0.9772158933036955
295,5J,MNLBCD,8.0,0.989,7.78,0.9772158933036955
296,5J,MNLBCD,5.2,0.994,5.0,0.9772158933036955
297,5J,MNLBCD,6.1,0.983,5.56,0.9772158933036955
298,5J,MNLBKK,3.4000000000000004,0.704,3.92,1.0251713675693899
299,5J,MNLBKK,1.7999999999999998,0.678,2.83,1.0251713675693899
300,5J,MNLBKK,3.6999999999999997,0.573,6.32,1.0251713675693899
301,5J,MNLBKK,2.7,0.826,2.61,1.0251713675693899
302,5J,MNLBKK,2.7,0.856,3.7,1.0251713675693899
303,5J,MNLBKK,3.5999999999999996,0.736,3.92,1.0251713675693899
305,5J,MNLBWN,2.7,0.436,3.19,0.531459678440309
306,5J,MNLBWN,1.5,0.495,1.6,0.531459678440309
307,5J,MNLBWN,2.6,0.346,3.72,0.531459678440309
309,5J,MNLBXU,5.800000000000001,0.754,8.9,2.062992125984252
310,5J,MNLBXU,5.8999999999999995,0.763,8.9,2.062992125984252
311,5J,MNLBXU,3.8,0.742,8.9,2.062992125984252
312,5J,MNLBXU,2.7,0.716,5.08,2.062992125984252
313,5J,MNLBXU,2.8000000000000003,0.957,5.32,2.062992125984252
314,5J,MNLBXU,7.6,0.866,8.6,2.062992125984252
315,5J,MNLBXU,6.4,0.748,8.7,2.062992125984252
317,5J,MNLCEB,4.2,0.898,4.14,0.795862696067288
318,5J,MNLCEB,6.5,0.958,5.51,0.795862696067288
321,5J,MNLCEB,7.1,0.983,5.93,0.795862696067288
322,5J,MNLCEB,4.1000000000000005,0.97,3.39,0.795862696067288
323,5J,MNLCEB,8.3,0.953,6.36,0.795862696067288
324,5J,MNLCEB,2.1999999999999997,0.766,3.19,0.795862696067288
325,5J,MNLCEB,6.800000000000001,0.983,5.51,0.795862696067288
326,5J,MNLCEB,6.800000000000001,0.89,5.93,0.795862696067288
327,5J,MNLCEB,4.8,0.725,5.51,0.795862696067288
329,5J,MNLCEB,6.6000000000000005,0.987,5.51,0.795862696067288
330,5J,MNLCEB,10.8,0.943,7.83,0.795862696067288
331,5J,MNLCEB,6.6000000000000005,0.894,6.11,0.795862696067288
332,5J,MNLCEB,3.5000000000000004,0.73,6.96,0.795862696067288
334,5J,MNLCEB,6.800000000000001,0.856,5.93,0.795862696067288
335,5J,MNLCEB,4.3999999999999995,0.932,4.66,0.795862696067288
336,5J,MNLCEB,9.3,0.883,7.45,0.795862696067288
339,5J,MNLCEB,5.8999999999999995,0.983,5.56,0.795862696067288
340,5J,MNLCEB,6.1,0.989,5.56,0.795862696067288
341,5J,MNLCEB,1.9,1.017,2.78,0.795862696067288
342,5J,MNLCEB,5.8999999999999995,0.961,5.0,0.795862696067288
343,5J,MNLCEB,8.3,0.9,7.78,0.795862696067288
346,5J,MNLCEB,5.800000000000001,1.004,7.39,0.795862696067288
347,5J,MNLCEB,4.6,0.906,4.44,0.795862696067288
348,5J,MNLCEB,3.8,0.991,6.09,0.795862696067288
350,5J,MNLCEB,5.7,1.004,7.39,0.795862696067288
351,5J,MNLCGY,3.6999999999999997,0.839,6.09,1.4785823005001086
352,5J,MNLCGY,6.0,0.926,7.83,1.4785823005001086
353,5J,MNLCGY,2.1,0.809,3.91,1.4785823005001086
354,5J,MNLCGY,3.5000000000000004,0.848,5.22,1.4785823005001086
355,5J,MNLCGY,3.2,0.867,3.72,1.4785823005001086
356,5J,MNLCGY,1.9,0.704,4.35,1.4785823005001086
357,5J,MNLCGY,4.5,0.896,6.52,1.4785823005001086
358,5J,MNLCGY,5.800000000000001,0.967,6.67,1.4785823005001086
359,5J,MNLCGY,6.6000000000000005,0.867,7.78,1.4785823005001086
360,5J,MNLCGY,5.7,0.939,6.67,1.4785823005001086
361,5J,MNLCGY,3.6999999999999997,0.867,4.79,1.4785823005001086
362,5J,MNLCGY,5.6000000000000005,0.851,6.91,1.4785823005001086
363,5J,MNLCGY,3.5999999999999996,0.871,3.76,1.4785823005001086
364,5J,MNLCGY,2.3,0.983,3.89,1.4785823005001086
365,5J,MNLCGY,5.5,0.867,6.67,1.4785823005001086
366,5J,MNLCGY,8.5,0.917,8.89,1.4785823005001086
376,5J,MNLCGY,6.800000000000001,0.989,8.33,1.4785823005001086
377,5J,MNLCGY,3.8,0.873,5.93,1.4785823005001086
378,5J,MNLCGY,3.0,0.949,4.24,1.4785823005001086
379,5J,MNLCGY,3.8,0.814,5.93,1.4785823005001086
380,5J,MNLCGY,3.2,0.758,5.51,1.4785823005001086
381,5J,MNLCGY,3.0,0.894,5.93,1.4785823005001086
382,5J,MNLCGY,5.1,0.903,7.63,1.4785823005001086
383,5J,MNLCGY,4.0,0.847,6.36,1.4785823005001086
384,5J,MNLDAD,6.2,0.619,7.63,0.8977319166326113
385,5J,MNLDAD,2.1,0.614,3.39,0.8977319166326113
387,5J,MNLDAD,2.1999999999999997,0.631,3.81,0.8977319166326113
393,5J,MNLDPS,6.6000000000000005,0.852,5.93,0.8990176121780689
394,5J,MNLDPS,4.0,0.788,4.66,0.8990176121780689
395,5J,MNLDPS,6.1,0.852,5.93,0.8990176121780689
396,5J,MNLDPS,3.8,0.826,3.39,0.8990176121780689
397,5J,MNLDPS,3.3000000000000003,0.691,4.24,0.8990176121780689
398,5J,MNLDPS,6.9,0.631,8.05,0.8990176121780689
399,5J,MNLDPS,5.6000000000000005,0.703,5.93,0.8990176121780689
400,5J,MNLDPS,4.0,0.763,4.66,0.8990176121780689
401,5J,MNLDPS,3.2,0.648,4.66,0.8990176121780689
402,5J,MNLDPS,7.3999999999999995,0.826,6.78,0.8990176121780689
422,5J,MNLDVO,6.2,0.86,8.05,1.2708374191017846
423,5J,MNLDVO,7.3,0.928,8.05,1.2708374191017846
424,5J,MNLDVO,5.0,0.958,6.78,1.2708374191017846
425,5J,MNLDVO,5.2,0.911,7.2,1.2708374191017846
426,5J,MNLDVO,4.5,0.864,5.08,1.2708374191017846
427,5J,MNLDVO,4.6,0.873,7.2,1.2708374191017846
428,5J,MNLDVO,5.6000000000000005,1.006,7.78,1.2708374191017846
429,5J,MNLDVO,4.7,0.933,6.11,1.2708374191017846
430,5J,MNLDVO,6.2,0.797,8.05,1.2708374191017846
431,5J,MNLGES,5.800000000000001,0.919,7.63,1.5579646791397097
432,5J,MNLGES,3.5999999999999996,0.894,4.66,1.5579646791397097
433,5J,MNLGES,4.1000000000000005,1.013,5.51,1.5579646791397097
434,5J,MNLGES,5.3,0.814,7.63,1.5579646791397097
435,5J,MNLGES,2.5,0.767,5.93,1.5579646791397097
436,5J,MNLGES,2.4,0.789,3.33,1.5579646791397097
437,5J,MNLGES,5.8999999999999995,0.85,7.22,1.5579646791397097
438,5J,MNLGES,4.1000000000000005,0.911,5.51,1.5579646791397097
439,5J,MNLGES,3.8,0.903,5.08,1.5579646791397097
440,5J,MNLGES,5.5,0.936,7.63,1.5579646791397097
441,5J,MNLGES,4.9,0.864,7.2,1.5579646791397097
442,5J,MNLGES,5.5,0.941,6.36,1.5579646791397097
443,5J,MNLGES,3.2,0.809,4.24,1.5579646791397097
444,5J,MNLGES,4.2,0.818,6.36,1.5579646791397097
445,5J,MNLGES,3.9,0.975,6.36,1.5579646791397097
446,5J,MNLGES,2.7,0.864,4.24,1.5579646791397097
447,5J,MNLGES,5.8999999999999995,0.928,8.05,1.5579646791397097
448,5J,MNLGES,4.2,0.907,5.51,1.5579646791397097
449,5J,MNLHAN,5.2,0.826,4.66,0.8043066942967835
450,5J,MNLHAN,3.8,0.716,4.66,0.8043066942967835
451,5J,MNLHAN,2.6,0.869,2.12,0.8043066942967835
453,5J,MNLHAN,4.3,0.763,5.93,0.8043066942967835
454,5J,MNLHAN,1.4000000000000001,0.818,1.69,0.8043066942967835
455,5J,MNLHAN,3.8,0.801,3.81,0.8043066942967835
456,5J,MNLHAN,5.4,0.788,4.66,0.8043066942967835
457,5J,MNLHAN,4.9,0.843,5.08,0.8043066942967835
458,5J,MNLHAN,5.3,0.792,4.66,0.8043066942967835
459,5J,MNLHAN,3.5999999999999996,0.699,3.81,0.8043066942967835
460,5J,MNLHAN,3.8,0.809,3.81,0.8043066942967835
461,5J,MNLHAN,6.2,0.792,5.93,0.8043066942967835
466,5J,MNLHKG,4.9,0.858,3.27,0.5621479534359745
467,5J,MNLHKG,3.9,0.83,2.83,0.5621479534359745
468,5J,MNLHKG,2.4,0.948,1.31,0.5621479534359745
469,5J,MNLHKG,3.0,0.932,1.74,0.5621479534359745
470,5J,MNLHKG,3.0,0.841,2.18,0.5621479534359745
471,5J,MNLHKG,4.1000000000000005,0.793,2.61,0.5621479534359745
472,5J,MNLHKG,1.7000000000000002,0.935,1.09,0.5621479534359745
473,5J,MNLHKG,5.800000000000001,0.826,3.7,0.5621479534359745
474,5J,MNLHKG,5.1,0.904,3.49,0.5621479534359745
475,5J,MNLICN,2.8000000000000003,0.852,3.39,0.5881574594773404
476,5J,MNLICN,4.1000000000000005,0.809,3.39,0.5881574594773404
477,5J,MNLICN,5.7,0.919,4.66,0.5881574594773404
478,5J,MNLICN,3.4000000000000004,0.915,2.12,0.5881574594773404
479,5J,MNLICN,2.8000000000000003,0.86,2.54,0.5881574594773404
480,5J,MNLICN,0.8999999999999999,0.831,0.85,0.5881574594773404
481,5J,MNLICN,1.2,0.775,1.69,0.5881574594773404
482,5J,MNLICN,4.3999999999999995,0.797,4.66,0.5881574594773404
483,5J,MNLICN,4.1000000000000005,0.881,2.97,0.5881574594773404
491,5J,MNLILO,3.0,0.989,2.66,0.8299604559199814
492,5J,MNLILO,5.8999999999999995,0.952,4.84,0.8299604559199814
493,5J,MNLILO,3.5000000000000004,1.0,2.66,0.8299604559199814
494,5J,MNLILO,3.2,0.941,3.72,0.8299604559199814
495,5J,MNLILO,3.5999999999999996,0.91,3.72,0.8299604559199814
496,5J,MNLILO,4.6,1.0,4.26,0.8299604559199814
497,5J,MNLILO,6.0,0.978,5.38,0.8299604559199814
498,5J,MNLILO,3.8,0.973,3.19,0.8299604559199814
499,5J,MNLILO,3.1,0.919,3.39,0.8299604559199814
500,5J,MNLILO,2.7,0.941,2.66,0.8299604559199814
501,5J,MNLILO,7.3999999999999995,0.91,4.26,0.8299604559199814
502,5J,MNLILO,1.9,0.963,2.66,0.8299604559199814
503,5J,MNLILO,4.6,1.0,4.26,0.8299604559199814
504,5J,MNLILO,4.8,0.995,3.72,0.8299604559199814
505,5J,MNLILO,7.5,0.983,5.93,0.8299604559199814
506,5J,MNLILO,7.199999999999999,0.979,5.51,0.8299604559199814
507,5J,MNLILO,3.3000000000000003,0.754,3.81,0.8299604559199814
508,5J,MNLILO,2.7,0.703,3.81,0.8299604559199814
509,5J,MNLILO,3.3000000000000003,0.602,4.66,0.8299604559199814
510,5J,MNLILO,2.6,0.695,3.81,0.8299604559199814
511,5J,MNLILO,0.7000000000000001,0.644,1.27,0.8299604559199814
512,5J,MNLILO,2.4,0.678,2.97,0.8299604559199814
513,5J,MNLILO,4.2,0.568,5.51,0.8299604559199814
514,5J,MNLILO,2.6,0.61,3.39,0.8299604559199814
515,5J,MNLILO,3.3000000000000003,1.0,2.78,0.8299604559199814
523,5J,MNLLAO,1.2,1.011,3.23,1.2040453434096465
524,5J,MNLLAO,2.6,0.495,5.38,1.2040453434096465
525,5J,MNLLAO,3.6999999999999997,0.618,6.45,1.2040453434096465
526,5J,MNLLAO,3.8,0.559,8.6,1.2040453434096465
527,5J,MNLLAO,3.5999999999999996,0.489,8.6,1.2040453434096465
528,5J,MNLLAO,2.1999999999999997,0.462,4.84,1.2040453434096465
529,5J,MNLLAO,2.3,0.575,5.91,1.2040453434096465
530,5J,MNLLAO,1.7999999999999998,0.64,4.84,1.2040453434096465
531,5J,MNLLAO,4.7,0.624,7.53,1.2040453434096465
532,5J,MNLLAO,4.0,0.532,8.06,1.2040453434096465
533,5J,MNLMPH,5.8999999999999995,0.862,7.45,1.1310689727026464
534,5J,MNLMPH,5.0,0.715,8.6,1.1310689727026464
535,5J,MNLMPH,2.3,0.777,3.19,1.1310689727026464
537,5J,MNLMPH,3.5999999999999996,0.833,5.38,1.1310689727026464
538,5J,MNLMPH,3.0,0.771,4.26,1.1310689727026464
539,5J,MNLMPH,2.3,0.851,3.72,1.1310689727026464
540,5J,MNLMPH,4.9,0.766,7.45,1.1310689727026464
541,5J,MNLMPH,4.1000000000000005,0.734,6.91,1.1310689727026464
542,5J,MNLMPH,4.5,0.794,6.67,1.1310689727026464
543,5J,MNLMPH,2.7,0.811,3.33,1.1310689727026464
544,5J,MNLMPH,2.3,0.856,3.45,1.1310689727026464
545,5J,MNLMPH,4.0,0.756,7.22,1.1310689727026464
562,5J,MNLPAG,6.0,0.904,8.51,2.2936587317463495
563,5J,MNLPAG,3.5999999999999996,0.957,6.91,2.2936587317463495
564,5J,MNLPAG,5.3,0.898,8.6,2.2936587317463495
565,5J,MNLPAG,4.3,0.915,7.45,2.2936587317463495
566,5J,MNLPAG,3.1,0.952,5.85,2.2936587317463495
567,5J,MNLPAG,3.5000000000000004,0.849,5.38,2.2936587317463495
568,5J,MNLPAG,3.8,0.931,7.45,2.2936587317463495
569,5J,MNLPAG,5.8999999999999995,0.984,8.51,2.2936587317463495
570,5J,MNLPAG,3.9,1.021,6.91,2.2936587317463495
571,5J,MNLPPS,6.4,0.989,6.45,1.1664014548761081
572,5J,MNLPPS,6.7,0.92,6.38,1.1664014548761081
573,5J,MNLPPS,3.9,0.966,5.51,1.1664014548761081
574,5J,MNLPPS,3.5000000000000004,0.911,3.81,1.1664014548761081
575,5J,MNLPPS,3.5999999999999996,0.822,5.08,1.1664014548761081
576,5J,MNLPPS,3.2,0.941,3.81,1.1664014548761081
578,5J,MNLPPS,6.800000000000001,0.992,7.2,1.1664014548761081
579,5J,MNLPPS,5.6000000000000005,1.022,7.83,1.1664014548761081
580,5J,MNLPPS,4.3,0.935,2.61,1.1664014548761081
581,5J,MNLPPS,8.3,0.928,8.06,1.1664014548761081
582,5J,MNLPPS,4.3999999999999995,0.894,5.51,1.1664014548761081
583,5J,MNLPPS,4.7,0.608,7.63,1.1664014548761081
584,5J,MNLPPS,4.8,0.948,7.19,1.1664014548761081
585,5J,MNLPPS,5.8999999999999995,0.979,6.36,1.1664014548761081
586,5J,MNLPPS,6.0,0.643,4.58,1.1664014548761081
587,5J,MNLPPS,4.7,1.013,6.36,1.1664014548761081
589,5J,MNLPPS,4.0,0.695,5.93,1.1664014548761081
590,5J,MNLPVG,4.2,0.798,3.72,0.7124723531108761
591,5J,MNLRXS,5.8999999999999995,1.005,6.91,1.3868467116779195
592,5J,MNLRXS,6.1,0.856,8.51,1.3868467116779195
593,5J,MNLRXS,3.4000000000000004,0.764,5.75,1.3868467116779195
